JobName,MisspecVec,HomoskedVec,SizeVec,LeverageVec,KVec,TypeSetting,Output
SufferingSim_Logistic_D0_G0_N50_R0_K1.rds,0,0,50,0,1,Logistic,Results/Logistic/N50_200/sim_D0_G0_N50_R0_K1.rds
SufferingSim_Logistic_D0_G0_N50_R0_K5.rds,0,0,50,0,5,Logistic,Results/Logistic/N50_200/sim_D0_G0_N50_R0_K5.rds
SufferingSim_Logistic_D0_G0_N50_R0.1_K1.rds,0,0,50,0.1,1,Logistic,Results/Logistic/N50_200/sim_D0_G0_N50_R0.1_K1.rds
SufferingSim_Logistic_D0_G0_N50_R0.1_K5.rds,0,0,50,0.1,5,Logistic,Results/Logistic/N50_200/sim_D0_G0_N50_R0.1_K5.rds
SufferingSim_Logistic_D0_G0_N200_R0_K1.rds,0,0,200,0,1,Logistic,Results/Logistic/N50_200/sim_D0_G0_N200_R0_K1.rds
SufferingSim_Logistic_D0_G0_N200_R0_K5.rds,0,0,200,0,5,Logistic,Results/Logistic/N50_200/sim_D0_G0_N200_R0_K5.rds
SufferingSim_Logistic_D0_G0_N200_R0.1_K1.rds,0,0,200,0.1,1,Logistic,Results/Logistic/N50_200/sim_D0_G0_N200_R0.1_K1.rds
SufferingSim_Logistic_D0_G0_N200_R0.1_K5.rds,0,0,200,0.1,5,Logistic,Results/Logistic/N50_200/sim_D0_G0_N200_R0.1_K5.rds
SufferingSim_Logistic_D0_G0.5_N50_R0_K1.rds,0,0.5,50,0,1,Logistic,Results/Logistic/N50_200/sim_D0_G0.5_N50_R0_K1.rds
SufferingSim_Logistic_D0_G0.5_N50_R0_K5.rds,0,0.5,50,0,5,Logistic,Results/Logistic/N50_200/sim_D0_G0.5_N50_R0_K5.rds
SufferingSim_Logistic_D0_G0.5_N50_R0.1_K1.rds,0,0.5,50,0.1,1,Logistic,Results/Logistic/N50_200/sim_D0_G0.5_N50_R0.1_K1.rds
SufferingSim_Logistic_D0_G0.5_N50_R0.1_K5.rds,0,0.5,50,0.1,5,Logistic,Results/Logistic/N50_200/sim_D0_G0.5_N50_R0.1_K5.rds
SufferingSim_Logistic_D0_G0.5_N200_R0_K1.rds,0,0.5,200,0,1,Logistic,Results/Logistic/N50_200/sim_D0_G0.5_N200_R0_K1.rds
SufferingSim_Logistic_D0_G0.5_N200_R0_K5.rds,0,0.5,200,0,5,Logistic,Results/Logistic/N50_200/sim_D0_G0.5_N200_R0_K5.rds
SufferingSim_Logistic_D0_G0.5_N200_R0.1_K1.rds,0,0.5,200,0.1,1,Logistic,Results/Logistic/N50_200/sim_D0_G0.5_N200_R0.1_K1.rds
SufferingSim_Logistic_D0_G0.5_N200_R0.1_K5.rds,0,0.5,200,0.1,5,Logistic,Results/Logistic/N50_200/sim_D0_G0.5_N200_R0.1_K5.rds
SufferingSim_Logistic_D1_G0_N50_R0_K1.rds,1,0,50,0,1,Logistic,Results/Logistic/N50_200/sim_D1_G0_N50_R0_K1.rds
SufferingSim_Logistic_D1_G0_N50_R0_K5.rds,1,0,50,0,5,Logistic,Results/Logistic/N50_200/sim_D1_G0_N50_R0_K5.rds
SufferingSim_Logistic_D1_G0_N50_R0.1_K1.rds,1,0,50,0.1,1,Logistic,Results/Logistic/N50_200/sim_D1_G0_N50_R0.1_K1.rds
SufferingSim_Logistic_D1_G0_N50_R0.1_K5.rds,1,0,50,0.1,5,Logistic,Results/Logistic/N50_200/sim_D1_G0_N50_R0.1_K5.rds
SufferingSim_Logistic_D1_G0_N200_R0_K1.rds,1,0,200,0,1,Logistic,Results/Logistic/N50_200/sim_D1_G0_N200_R0_K1.rds
SufferingSim_Logistic_D1_G0_N200_R0_K5.rds,1,0,200,0,5,Logistic,Results/Logistic/N50_200/sim_D1_G0_N200_R0_K5.rds
SufferingSim_Logistic_D1_G0_N200_R0.1_K1.rds,1,0,200,0.1,1,Logistic,Results/Logistic/N50_200/sim_D1_G0_N200_R0.1_K1.rds
SufferingSim_Logistic_D1_G0_N200_R0.1_K5.rds,1,0,200,0.1,5,Logistic,Results/Logistic/N50_200/sim_D1_G0_N200_R0.1_K5.rds
SufferingSim_Logistic_D1_G0.5_N50_R0_K1.rds,1,0.5,50,0,1,Logistic,Results/Logistic/N50_200/sim_D1_G0.5_N50_R0_K1.rds
SufferingSim_Logistic_D1_G0.5_N50_R0_K5.rds,1,0.5,50,0,5,Logistic,Results/Logistic/N50_200/sim_D1_G0.5_N50_R0_K5.rds
SufferingSim_Logistic_D1_G0.5_N50_R0.1_K1.rds,1,0.5,50,0.1,1,Logistic,Results/Logistic/N50_200/sim_D1_G0.5_N50_R0.1_K1.rds
SufferingSim_Logistic_D1_G0.5_N50_R0.1_K5.rds,1,0.5,50,0.1,5,Logistic,Results/Logistic/N50_200/sim_D1_G0.5_N50_R0.1_K5.rds
SufferingSim_Logistic_D1_G0.5_N200_R0_K1.rds,1,0.5,200,0,1,Logistic,Results/Logistic/N50_200/sim_D1_G0.5_N200_R0_K1.rds
SufferingSim_Logistic_D1_G0.5_N200_R0_K5.rds,1,0.5,200,0,5,Logistic,Results/Logistic/N50_200/sim_D1_G0.5_N200_R0_K5.rds
SufferingSim_Logistic_D1_G0.5_N200_R0.1_K1.rds,1,0.5,200,0.1,1,Logistic,Results/Logistic/N50_200/sim_D1_G0.5_N200_R0.1_K1.rds
SufferingSim_Logistic_D1_G0.5_N200_R0.1_K5.rds,1,0.5,200,0.1,5,Logistic,Results/Logistic/N50_200/sim_D1_G0.5_N200_R0.1_K5.rds
